,gl,searchTerms,Spearman_TFIDF_Content,Kendall_TFIDF_Content,Spearman_BM25_Content,Kendall_BM25_Content,Spearman_VSM_Content,Kendall_VSM_Content,Spearman_TFIDF_Summary,Kendall_TFIDF_Summary,Spearman_BM25_Summary,Kendall_BM25_Summary,Spearman_VSM_Summary,Kendall_VSM_Summary,Comparison_Type,Spearman_Content,Spearman_Summary,Kendall_Content,Kendall_Summary
62,us,ford focus for sale,-0.08571428571428573,-0.06666666666666665,0.2,0.06666666666666665,0.2,0.06666666666666665,0.028571428571428574,0.06666666666666665,0.028571428571428574,0.06666666666666665,0.2,0.06666666666666665,,,,,
63,us,ford fusion for sale,0.942857142857143,0.8666666666666666,0.6,0.4666666666666666,0.3714285714285715,0.3333333333333333,0.942857142857143,0.8666666666666666,0.7142857142857143,0.6,-0.08571428571428573,-0.2,,,,,
64,us,ford mustang for sale,-0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,-0.3,-0.19999999999999998,0.7,0.6,0.7999999999999999,0.6,0.7999999999999999,0.6,,,,,
65,us,gmc terrain for sale,0.8999999999999998,0.7999999999999999,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,-0.49999999999999994,-0.19999999999999998,-0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,,,,,
66,us,hyundai accent for sale,0.8285714285714287,0.7333333333333333,0.48571428571428577,0.3333333333333333,0.2571428571428572,0.2,0.5428571428571429,0.4666666666666666,0.2,0.06666666666666665,0.6,0.4666666666666666,,,,,
67,us,hyundai elantra for sale,0.7,0.6,0.3,0.19999999999999998,0.09999999999999999,0.0,-0.19999999999999998,-0.19999999999999998,0.0,0.0,0.0,-0.19999999999999998,,,,,
68,us,hyundai santa fe for sale,0.7142857142857143,0.4666666666666666,0.7142857142857143,0.6,0.3714285714285715,0.3333333333333333,0.2,0.06666666666666665,0.14285714285714288,0.2,0.08571428571428573,0.06666666666666665,,,,,
69,us,hyundai santa fe sport for sale,0.49999999999999994,0.39999999999999997,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.19999999999999998,-0.19999999999999998,0.0,0.0,0.3,0.19999999999999998,,,,,
70,us,hyundai sonata for sale,0.7,0.6,0.3,0.19999999999999998,0.3,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.49999999999999994,-0.19999999999999998,,,,,
71,us,infiniti qx60 for sale,0.6,0.39999999999999997,0.09999999999999999,0.0,0.09999999999999999,0.0,-0.7,-0.6,-0.7,-0.6,-0.8999999999999998,-0.7999999999999999,,,,,
72,us,infiniti qx70 for sale,0.7999999999999999,0.6,0.09999999999999999,0.0,0.49999999999999994,0.39999999999999997,-0.3,-0.19999999999999998,0.09999999999999999,0.0,0.3,0.19999999999999998,,,,,
73,us,jeep cherokee for sale,0.8999999999999998,0.7999999999999999,0.3,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,,,,,
74,us,jeep compass for sale,0.6,0.39999999999999997,0.09999999999999999,0.0,0.09999999999999999,0.0,0.3,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,,,,,
75,us,jeep grand cherokee for sale,0.6,0.39999999999999997,0.19999999999999998,0.19999999999999998,0.09999999999999999,0.0,0.49999999999999994,0.19999999999999998,0.3,0.19999999999999998,0.6,0.39999999999999997,,,,,
76,us,jeep patriot for sale,0.8999999999999998,0.7999999999999999,0.39999999999999997,0.39999999999999997,0.19999999999999998,0.19999999999999998,0.09999999999999999,0.0,0.09999999999999999,0.0,-0.19999999999999998,-0.19999999999999998,,,,,
77,us,kia forte for sale,0.7999999999999999,0.6,0.3,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.7,-0.6,-0.19999999999999998,-0.19999999999999998,-0.09999999999999999,0.0,,,,,
78,us,kia sedona for sale,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,,,,,
79,us,kia sorento for sale,0.14285714285714288,0.2,0.14285714285714288,0.06666666666666665,0.2571428571428572,0.2,0.3714285714285715,0.3333333333333333,-0.2,-0.2,-0.3142857142857143,-0.2,,,,,
80,us,kia sportage for sale,0.6571428571428573,0.4666666666666666,-0.2,-0.06666666666666665,0.3714285714285715,0.3333333333333333,0.6571428571428573,0.6,0.6571428571428573,0.6,0.3714285714285715,0.3333333333333333,,,,,
81,us,mitsubishi lancer for sale,0.7999999999999999,0.6,0.6,0.39999999999999997,0.7999999999999999,0.6,-0.7999999999999999,-0.6,-0.8999999999999998,-0.7999999999999999,0.0,-0.19999999999999998,,,,,
82,us,nissan altima for sale,0.7,0.6,0.3,0.19999999999999998,0.09999999999999999,0.0,-0.6,-0.39999999999999997,-0.49999999999999994,-0.19999999999999998,-0.3,-0.19999999999999998,,,,,
83,us,nissan frontier for sale,0.942857142857143,0.8666666666666666,0.7142857142857143,0.6,0.3714285714285715,0.3333333333333333,-0.14285714285714288,-0.06666666666666665,0.5428571428571429,0.4666666666666666,0.4285714285714286,0.3333333333333333,,,,,
84,us,nissan juke for sale,0.942857142857143,0.8666666666666666,0.6,0.4666666666666666,0.3714285714285715,0.3333333333333333,0.6571428571428573,0.4666666666666666,0.48571428571428577,0.3333333333333333,0.5428571428571429,0.3333333333333333,,,,,
85,us,nissan pathfinder for sale,0.8285714285714287,0.7333333333333333,0.6,0.4666666666666666,0.2571428571428572,0.2,0.14285714285714288,0.2,0.08571428571428573,0.06666666666666665,-0.6,-0.3333333333333333,,,,,
86,us,nissan rogue for sale,0.7714285714285715,0.6,0.4285714285714286,0.2,0.14285714285714288,0.06666666666666665,0.48571428571428577,0.3333333333333333,0.48571428571428577,0.3333333333333333,0.2571428571428572,0.06666666666666665,,,,,
87,us,nissan sentra for sale,0.3714285714285715,0.2,-0.48571428571428577,-0.3333333333333333,-0.028571428571428574,-0.06666666666666665,-0.2571428571428572,-0.2,-0.2571428571428572,-0.2,0.14285714285714288,0.2,,,,,
88,us,nissan versa for sale,0.8999999999999998,0.7999999999999999,0.0,0.0,0.09999999999999999,0.0,-0.09999999999999999,0.0,-0.09999999999999999,0.0,0.49999999999999994,0.19999999999999998,,,,,
89,us,nissan versa note for sale,0.7142857142857143,0.4666666666666666,0.8285714285714287,0.6,0.5428571428571429,0.4666666666666666,-0.3142857142857143,-0.3333333333333333,-0.2,-0.2,-0.028571428571428574,-0.06666666666666665,,,,,
90,us,ram 1500 for sale,0.3142857142857143,0.2,0.3714285714285715,0.06666666666666665,0.6,0.4666666666666666,-0.3142857142857143,-0.3333333333333333,0.2571428571428572,0.06666666666666665,0.6571428571428573,0.4666666666666666,,,,,
91,us,toyota camry for sale,0.8999999999999998,0.7999999999999999,0.6,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.7,0.6,0.7,0.6,0.8999999999999998,0.7999999999999999,,,,,
92,us,toyota corolla for sale,0.39999999999999997,0.3333333333333334,-1.0,-1.0,0.39999999999999997,0.3333333333333334,0.39999999999999997,0.3333333333333334,0.39999999999999997,0.3333333333333334,0.7999999999999999,0.6666666666666669,,,,,
93,us,toyota prius for sale,0.7714285714285715,0.6,0.3714285714285715,0.3333333333333333,0.4285714285714286,0.2,-0.2571428571428572,-0.06666666666666665,-0.3142857142857143,-0.2,0.14285714285714288,0.2,,,,,
94,us,toyota rav4 for sale,0.7,0.6,0.39999999999999997,0.39999999999999997,0.3,0.19999999999999998,-0.6,-0.39999999999999997,0.49999999999999994,0.39999999999999997,0.7,0.6,,,,,
95,us,toyota yaris for sale,0.7999999999999999,0.6666666666666669,0.0,0.0,0.39999999999999997,0.3333333333333334,-1.0,-1.0,-0.7999999999999999,-0.6666666666666669,0.19999999999999998,0.0,,,,,
96,us,volkswagen beetle coupe for sale,0.5,0.33333333333333337,-0.8571428571428573,-0.7142857142857143,-0.8214285714285715,-0.7142857142857143,0.4642857142857144,0.33333333333333337,0.4642857142857144,0.33333333333333337,0.14285714285714288,0.04761904761904762,,,,,
97,us,volkswagen passat for sale,0.7,0.6,0.09999999999999999,0.0,0.09999999999999999,0.0,-0.39999999999999997,-0.39999999999999997,-0.3,-0.19999999999999998,0.0,-0.19999999999999998,,,,,
98,,,,,,,,,,,,,,,Average,0.4784985422740526,0.032215743440233265,0.4024295432458699,0.030709426627793964
